instituciones,titulos,autores,contribuidores,resumenes,grados,años
Universidad Nacional de San Antonio Abad del Cusco,Comercio electrónico de la asociación red de artesanos microempresarios de la Comunidad Andina de Naciones - Cusco,"Flores Vásquez, Smith","Suyo Cruz, Gabriel","Cada día nos vemos más involucrados en el remolino que llevará a todos al mar del conocimiento, alimentado por los grandes ríos del saber y dentro de los cuales yacen todas las tecnologías que se están desarrollando en los últimos tiempos. Las formas de hacer comercio han cambiado mucho en estos últimos años con ayuda del intemet, una persona que esté conectado al intemet podrá comprar cualquier producto que se ofrezca en la red en cualquier parte del mundo. Es así, que el Comercio Electrónico representa el avance de una tecnología que cayó por su madurez y que está acaparando la atención del mundo entero. También se conoce que el Comercio Electrónico se ha constituido en un elemento vital en el desarrollo y un instrumento esencial para la promoción del progreso económico, cultural y tecnológico a nivel mundial. Gracias al comercio electrónico se hace posible y se puede soportar los cambios que estamos viendo en estos últimos tiempos los cuales se están dando a escala global, logrando que las empresas sean más eficientes en sus servicios, incrementen sus ventas y tengan mayor flexibilidad en sus funciones internas, también se permite que éstas puedan entablar un contacto más estrecho con sus proveedores, sin importar la localización geográfica, ya que la distancia ya no es un obstáculo para vender en un mercado global. En este entender la presente tesis denominada: COMERCIO ELECTRÓNICO DE LA ""ASOCIACIÓN RED DE ARTESANOS MICROEMPRESARIOS DE LA COMUNIDAD ANDINA DE NACIONES""-CUSCO, pretende explicar cómo los factores del comercio electrónico influyen en las ventas de dicha asociación y ha sido desarrollada en los siguientes capítulos que se describen a continuación: CAPITULO I: Contiene el diseño de la investigación, compuesta del enunciado y caracterización del problema, objetivos, justificación, delimitación, hipótesis, variables, metodología, población y las técnicas e instrumentos de recolección de datos. CAPITULO 11: Esta parte estudiamos los antecedentes de la investigación, el marco teórico y la definición de los diferentes términos correspondientes, lo cual nos permite esclarecer nuestros conocimientos sobre los diferentes conceptos y las teorías que nos permiten sustentar nuestra investigación. CAPITULO III: Este apartado comprende el diagnóstico situacional de la Asociación Red de Artesanos Microempresarios de la Comunidad Andina de Naciones, se describe la reseña histórica, el análisis de los factores externos e internos, estudiando las características de los proveedores, competidores, clientes y organismos reguladores, con el análisis respectivo de las entrevistas realizadas. CAPITULO IV: Este apartado comprende análisis e interpretación de los resultados de la entrevista realizada a los miembros de la Asociación Red de Artesanos Microempresarios de la Comunidad Andina de Naciones. CAPITULO V: Propuesta de comercio electrónico B2C (Business To Consumer) para la Asociación Red de Artesanos Microempresarios de la Comunidad Andina de Naciones incrementando el rendimiento en las ventas de dicha Asociación Finalmente se presentan las conclusiones, recomendaciones, bibliografía utilizada y los anexos que complementan el trabajo de investigación.",Licenciado en Administración,2011
Universidad Nacional de San Antonio Abad del Cusco,Evaluación del efecto inhibitorio sobre la respuesta alérgica y determinación de la toxicidad aguda del extracto metanólico de Cosmos Peucedanifolius (Panti),"Salas Cárdenas, Erika Leonor","Del Carpio Jiménez, Carla","El presente trabajo abordó la evaluación del efecto inhibitorio sobre la respuesta alérgica del extracto metanótico de Cosmos peucedanifofius (panti) y la determinación de la toxicidad aguda de esta especie. Objetivo: Evaluar el efecto inhibitorio sobre la respuesta alérgica del extracto metanólico de Cosmos peucedanifolius (panti) y determinar la toxicidad aguda. Metodología: Para evaluar el efecto sobre la respuesta alérgica se realizó un estudio cuasi experimental de series cronologías con repetición del estímulo y diseño con un grupo control, realizando las siguientes pruebas: Edema plantar inducido por OVA (ovoalbúmina), Reacción cutánea inducida por Histamina en ratas albinas y Prueba de Anafilaxia Pasiva Cutánea para determinar lgE específica. Y con el objetivo de demostrar la probable toxicidad aguda se usó, un estudio cuasi experimental con pre prueba y post prueba teniendo en cuenta el Método de Lorke. Resultados: Se observó que a dosis de 800mg/Kg existió una inhibición muy buena sobre la inflamación alérgica inducida por Ovoalbúmina de 52 % similar al del fármaco patrón lndometacina. En el ensayo de la evaluación de la reacción cutánea inducida por histamina en ratas albinas se obtuvo buenos resultados a dosis de 400 y 800 mg/kg obteniéndose un buen porcentaje de Inhibición. Finalmente a dosis de 400 mg/Kg se observó una inhibición en la producción de lgE especifica mostrándose de mejor manera a una dilución de e 1/256. En cuanto a la determinación de la toxicidad aguda mediante la prueba de Lorke se determinó que el extracto metanólico de Cosmos peucedanifolius (panti), es poco toxica. Conclusiones: Los resultados de esta investigación constituyen parte de la base experimental pre clínica necesaria para la realización de ensayos clínicos controlados en inmunopatologías como la artritis reumatoide o el asma bronquial entre otras enfermedades relacionadas a la respuesta alérgica",Químico Farmacéutico,2011
Universidad Nacional de San Antonio Abad del Cusco,Estudio para determinar la factibilidad de la instalación de un módulo de uso sustentable de vicuñas (MUSV) en la zona del Pachatusan del distrito de Oropesa Quispicanchi Cusco,"García García, Lida","Machaca Mamani, Abraham Filiberto","Se ha realizado el estudio para determinar la Factibilidad de la Instalación de un Módulo de Uso Sustentable de Vicuñas (MUSV) en la zona del Pachatusan, desde los 4050 hasta 4800 m.s.n.m.; entre dos comunidades campesinas Choquepata y Huasao (área Comunal) del distrito de Oropesa, provincia de Quispicanchi. Se realizó desde el mes de julio 201 O a marzo del 2011; para lo cual se realizaron las siguientes acciones; delimitación del área de estudio, efectuar diagnóstico de uso actual de los pastizales, la determinación de la carga animal, la carga parasitaria de los pastizales y determinación de factibilidad de la instalación del Módulo de vicuñas en la zona del Pachatusan. Los resultados encontrados en la delimitación, se tiene una extensión total de 1,645.95 ha; de las cuales 1,226.46 ha son áreas de pastizales y 419.49 ha son de protección; en el pastizal se ha encontrado tres tipos de pastizal; Pajonal, Césped de Puna y Bofedal, con: 1016,16 ha; 80,240 ha y 130,057 ha respectivamente. El uso actual de los pastizales está dado por 195 beneficiarios que se dedican al uso agrícola con parcelas temporales y el uso pecuario con el pastoreo de sus animales domésticos y el uso por otras especies de fauna silvestre presente en la zona. La carga animal Unidad Vicuña por tipo de pastizal es de 0.55 U.Vicuña/ha/año en tipo Pajonal, 1.65 U.Vicuña/ha/año en tipo Bofedal 0.28 U. Vicuña/ha/año en el tipo Césped de Puna, con una carga total estimada de 797 U.Vicuña/año en las 1,226.46 ha de pastizales. La carga parasitaria de los pastizales está dada por la presencia del parasito Trichostrongylus spp; con 596 Larvas/Kg de Forraje en tipo Pajonal, 376 Larvas /Kg de Forraje en tipo Bofedal y 739 Larvas /Kg de Forraje en el tipo Cesped de Puna. La factibilidad para la instalación del módulo de Uso Sustentable de Vicuñas en la Zona del Pachatusan del Distrito de Oropesa, es Factible. Dentro de las metodologías utilizadas en el presente trabajo de investigación, se ha utilizado un GPS y el programa ArGIS para la determinación de la zona ; para determinar el diagnostico de uso de los pastizales se realizó encuestas participativas a los pobladores en forma organizada por comunidades y anexos; para la determinación de la carga animal se realizó por el método de condición de pastizales utilizando para ello los transectos al paso con anillo censador y el método de la producción primaria utilizando muestras de corte con el cuadrante metálico; para la carga parasitaria de los pastizales se realizó dos procedimientos, utilizando el método de la ""W' para corte de muestra y la incubación de larvas infectivas por el método de Roberto o Sullivan modificado, realizadas en el laboratorio de sanidad animal del centro Agronómico de Kayra, puesto que permitieron conocer de mejor manera la disponibilidad y características de los recursos necesarios para la instalación del MUSV, también nos ayudaran a tomar decisiones futuras y elaborar un plan de manejo de vicuñas.",Ingeniero zootecnista,2011
Universidad Nacional de San Antonio Abad del Cusco,Evaluación del efecto antiespasmódico del extracto hidroalcohólico y del aceite esencial de Artemisia Absinthium L .( Ajenjo) In vivo y Ex vivo,"Quispe Quispe, Patricia","Villena Tejada, Magaly","Artemisia absinthium L. (Ajenjo), es utilizado en la medicina tradicional en cólicos intestinales. El objetivo de este estudio fue determinar el efecto antiespasmódico del extracto hidroalcohólico al 70% y del aceite esencial de Artemisia absinthium L. El tipo de estudio fue cuasiexperimental. Se evaluó el efecto antiespasmódico por un modelo in vivo para medir la actividad sobre el tránsito intestinal, y un modelo ex vivo en íleon aislado de cobayo sobre las contracciones basales y frente a la acción de la acetilcolina. El análisis fitoquímico del extracto reveló la presencia de alcaloides, glicósidos, taninos, resinas, saponinas, lactonas y azucares reductores. El análisis de GC-MS del aceite esencial muestra como metabolitos mayoritarios: linalol, β - tuyona, α - tuyona, Oxirane, 2-(Hexyn-1yl)-3 methoxymethylene, myrtenyl acetate. Los resultados en el modelo in vivo donde se evaluó el porcentaje de avance del marcador (carbón activado) para el extracto a las dosis de 600mg/kg con 38.8%, 800mg/Kg con 47.9% y 1000mg/Kg con 46.1% en promedio mucho menores que el grupo control (solución salina fisiológica) 84.7%. Para el aceite esencial 2mg/kg con 39.8%, 1 mg/Kg con 43.5%y 0.5mg/Kg con 54.9% menores que el grupo control (solución tween 1%) 85.5%. Para el fármaco patrón (atropina 1 mg/Kg) con porcentaje de avance de 19.9%, con significancia 0.000 a un nivel de confianza del 95%. Los resultados del efecto sobre las contracciones basales de íleon aislado de cobayo donde se evaluó el porcentaje de inhibición para el extracto a las concentraciones de 900)Jg/mL con 91.3%, 1200)Jg/mL con 90.7% y 1500)Jg/mL con 93.4%; para el aceite esencial a las concentraciones de 0.05mg/mL de 50.6%, 0.1 mg/mL de 76.2% y 0.2mg/mL de 90.1 %, para el fármaco patrón atropina a la concentración 0.03mg/mL con 92.4% y para el grupo control 0.8%, con significancia 0.000 a un nivel de confianza del 95%. Frente a las acción de la acetilcolina se evaluó la máxima amplitud después de la adición de acetilcolina, para el extracto a las concentraciones de 900)Jg/mL de 11.3mV, 1200)Jg/mL de 10.5mV, y 1500)Jg/mL de 1 Omv; para el aceite esencial a las concentraciones de 0.05mg/mL de 9.7mV, 0.1mg/mL de 3.6mV y 0.2mg/ml de 1.6mV; para el fármaco patrón atropina a la concentración 0.03mg/ml de 0.4mV y para el grupo control de 16.2mV. , con significancia 0.000 a un nivel de confianza del 95%. Con los resultados obtenidos se concluye que el aceite esencial y el extracto hidroalcohólico al 70% de de Artemisia absinthium L. ""Ajenjo"" presentan efecto antiespasmódico in vivo y ex vivo.",Químico Farmacéutico,2011
Universidad Nacional de San Antonio Abad del Cusco,Caracterización morfológica y evaluación fenológica de sesenta y cinco entradas de maíz (Zea maíz L.) del Banco de Germoplasma del CICA - K'ayra - Cusco,"Yépez Chilo, Edit","Cosio Cuentas, Teofilo Pompeyo","El presente trabajo de investigación titulado "" CARACTERIZACIÓN MORFOLÓGICA Y EVALUACIÓN FENOLÓGICA DE SESENTA Y CINCO ENTRADAS DE MAÍZ (Zeamays L.) DEL BANCO DE GERMOPLASMA DEL CICA BAJO CONDICIONES DE K'AYRA- CUSCO"" tiene el objetivo caracterizar agro botánicamente y evaluar la fenología y rendimiento preliminar de 65 entradas de maíz del Banco de germoplasma de Maíz del CICA que en la actualidad conserva 480 accesiones procedentes de los valles interandinos de Cusco y Apurímac, de los cuales las accesiones recolectadas en los últimos años no han sido caracterizados, siendo necesario generar la información para el catálogo de maíz correspondiente al Banco de Germoplasma de Maíz. El presente experimento se condujo en el Centro Agronómico de K'ayra, de la Facultad de Agronomía y Zootecnia de la Universidad Nacional de San Antonio Abad del Cusco. En la Región y provincia del Cusco, Distrito de San Jerónimo; a una altitud de 3219 m; Latitud Sur de 13° 25'; Longitud Oeste de 71° 52'. El campo de refrescamiento y caracterización de las 65 entradas se instaló en cinco bloques, con trece entradas cada bloque y cada entrada con tres surcos sin repeticiones. Para instalar el presente trabajo se procedió a preparar la semilla, extrayendo del Banco de Germoplasma la cantidad necesaria para los tres surcos por entrada. La siembra de las entradas del germoplasma se realizó el día 23 de octubre del 2009. La cosecha se realizó cuando la planta alcanzo la madurez fisiológica adecuada para la cosecha que fue el día 6 de mayo del 2010, fecha en el todas las entradas alcanzaron su madurez completa. Las evaluaciones del material de germoplasma se realizaron de acuerdo al Descriptor Internacional de CIMMY/IBPGRI, modificado por el Programa Nacional de Maíz para los maíces de la Región Andina. Utilizados en los diferentes trabajos de tesis sobre caracterización en el CICA. Los resultados obtenidos en este trabajo de investigación permite establecer que todas las entradas completaron su ciclo vegetativo satisfactoriamente, por lo tanto la caracterización morfológica y las fases fenológicas determinadas son válidas y repetibles para cada entrada. Sobre la caracterización: La panoja en promedio de las 65 entradas tiene: una longitud de 35cm; con una ramificación promedio de 12 ramas primarias; la longitud del pedúnculo tuvo 22 cm; todas las entradas producen polen. Las características del tallo en las 65 entradas: tuvo una altura de planta promediode180 cm y una altura de mazorca promedio a 111 cm; el número de nudos en promedio llegó a 11.Respecto a las características de la hoja se tiene: el número de hojas promedio por encima de la mazorca es de cinco y por debajo es de seis hojas. Respecto a la mazorca o espiga cilíndrica sobre las 65 entradas se tiene: el arreglo de hileras espiral se presentó en el 79% e hileras rectas en el 21 %; el número de hileras en promedio es de 12; el número de granos por hilera en promedio es de 18; la longitud de mazorca en promedio es de 12.11 cm y el diámetro llega a 5.68 cm. Sobre la fenología: La emergencia en promedio de las 65 entradas fue a los 17 días; el desarrollo vegetativo tuvo un promedio de 63, La floración masculina más precoz se observó a los 92 días y el más tardío a los 126 días, la floración femenina para los más precoces se observó a los 99 días y los más tardíos a los 131 días, con un promedio de 112 días desde la siembra. Para rendimiento: El peso de mazorca en promedio es de 92.69g.EI rendimiento promedio de las entradas es de 3185.44 kg/ha. Para la regresión y correlación: Las variables presentan regresión positiva solo en tres casos, los restantes 12 casos de regresión no indican asociación o interdependencia en el conjunto de las accesiones evaluadas, esto se explica por la alta variabilidad poblacional dentro de los ecotipos y entre ecotipos.",Ingeniero agrónomo,2011
Universidad Nacional de San Antonio Abad del Cusco,Comparativo de rendimiento y respuesta a plagas y enfermedades de nueve híbridos de papa (andígena x andigena) bajo condiciones del Centro Agronómico K´ayra - Cusco,"Sánchez Sicha, Gina Dálida","Cosio Cuentas, Teofilo Pompeyo","El presente trabajo denominado ""Comparativo de rendimiento y respuesta a plagas y enfermedades de nueve híbridos de papa (andigena x andigena) bajo condiciones del Centro Agronómico K'ayra - Cusca"" se realizó en la campaña 2009-2010 en el Potrero 5-A (llamado triángulo). El Centro de Investigación en Cultivos Andinos (CICA proporcionó el material genético de papa (híbridos Kll-1001, Klll-20 A, Klll-188, KII-W-78, KI-W-1178, Kll-1005, Klll-1008, Klll-018 y Kl-W-26A). Cuyo diseño estadístico que se aplicó fue Diseño Estadístico de Bloques Completamente al Azar (DBCA) compuesto por cuatro repeticiones y nueve tratamientos en parcelas de 5.1 O m de longitud por 4.0 m de ancho, cada parcela tiene 5 surcos cuyo distanciamiento entre surcos es de 0.80 m y 0.30 m entre golpes y un área útil de 11.52 m2. El trabajo experimental se basó en 1os objetivos planteados que fueron comparar el rendimiento de tubérculo de los nueve híbridos de papa, evaluar la respuesta de daño de Epitrix spp y Diabrotica spp y al daño causado por Phytophthora infestans Mont. De Bary. En cuanto al rendimiento de tubérculo por hectárea se observa que el híbrido de mayor rendimiento es el Kll-1 005 con 19.908 t/ha. La metodología de evaluación para las plagas fue mediante escalas de daño para Epitrix spp y Diabrotica spp para lo cual también se halló el índice de daño en cada caso. En cuanto al daño de Epitrix spp los híbridos que tuvieron mayor tolerancia a esta plaga para las dos evaluaciones que se realizaron fueron el híbrido Kll-1001 con 34.69% de daño en los foliolos de las hojas (primera evaluación) y el híbrido Kili-188 con 32.19% de daño foliar (segunda evaluación). El daño de Diabrotica spp en los nueve híbridos de papa se observó en la primera evaluación que el híbrido que tuvo mayor tolerancia al daño fue el híbrido KI-W-26A con 69.06% de daño de foliolos. En la segunda evaluación el híbrido Klll-188 con 51.88% de área dañada hojas mostró mayor tolerancia al daño de esta plaga. Los nueve híbridos de papa fueron afectados por Phytophthora infestans a nivel foliar de la planta y al momento de la selección de tubérculos en un porcentaje menor a 5% lo cual no fue significativo.",Ingeniero agrónomo,2011
Universidad Nacional de San Antonio Abad del Cusco,Estudio comparativo de la actividad antioxidante IN VITRO de los extractos antociánicos y caracterización de las antocianidinas en los frutos de las especies vegetales Prunus serótina (capuli) Muehlenbeckia volcánica (Benth.) Endl. (Mullak'a) Monnina salicifolia R. & P. (Aceitunilla),"Torres Apaza, Roseline","Del Carpio Jiménez, Carla","Las antocianinas están presentes en muchos frutos (bayas) y flores, estos son colorantes naturales, pertenecientes al grupo de los flavonoides, a las que se les atribuye actividad antioxidante por su capacidad para neutralizar los efectos de los radicales libres sobre enfermedades crónico-degenerativas. En la presente investigación se utilizan extractos antociánicos de los frutos de Muehlenbleckia volcanica (Mullak'a), Monnina salicifolia (Aceitunilla) y Prunus serotina (Capuli), con el objetivo de evaluar su actividad antioxidante a diferentes concentraciones y caracterizar sus antocianidinas. Para determinar y comparar la actividad antioxidante in vitro se realizaron ensayos que corresponden a un estudio cuasiexperimental para lo cual se utilizó dos técnicas: la captura de radicales libres DPPH (2,2-difenil-1-picrilhidracilo) y el método químico ABTS (Acido 2,2-Azinobis-(-3-Etilbenzotiazolin-6-Sulfonico)), los resultados fueron expresados en porcentaje de captación de radicales libres y IC50. Las antocianidinas fueron identificadas mediante el análisis por cromatografía líquida de alta resolución (HPLC). Todos los extractos antociánicos presentaron actividad antioxidante sobre ambos radicales, a diferentes concentraciones, de los cuales el extracto antociánico de Muehlenbleckia volcanica (Mullak'a) presentó mayor actividad antioxidante, con un IC50= 2.2247, 4.077 µg/ml frente a los radicales DPPH y ABTS respectivamente, seguido de Monnina salicifolia (Aceitunilla) y el extracto de Prunus serotina (Capuli) De la comparación con el antioxidante patrón, ácido ascórbico (vitamina C), los tres extractos antociánicos resultaron tener menor actividad antioxidante en ambos métodos. El presente estudio muestra que los extractos antociánicos evaluados poseen buena capacidad antioxidante, destacando Muehlenbleckia volcanica (Mullak'a) y Monnina salicifolia (Aceitunilla), además se identificó en ellos la presencia de dos antocianidinas (cianidina y delfmidina) de la seis más comunes. Por lo tanto, además de las características colorantes, los extractos antociánicos poseen potente propiedad antioxidante que podría ser aplicado en el campo de la industria alimentaria, cosmética y farmacéutica, muchos mecanismos antioxidantes podrían explicar el efecto de las antocianinas, como la donación de hidrogeno y quelación de metales.",Químico Farmacéutico,2011
Universidad Nacional de San Antonio Abad del Cusco,"Edad cronológica promedio de los estadíos de maduración ósea mediante el método de Hassel y Farman en pacientes de 10 a 16 años, que acuden al Centro de Radiodiagnóstico Estomatológico Cusco, enero - marzo, 2011","Huayllapuma Callonza, Jhonatan","Villamar Diaz, Mario Jesús","La globalización y las tendencias actuales motivan cada vez más a la población a seguir patrones de moda y estética, es por ello que en la actualidad, la motivación estética para acudir a la consulta odontológica se hace cada vez más frecuente y los tratamientos ortodónticos son cada vez más solicitados, es así que el odontólogo requiere con frecuencia realizar la valoración de la edad ósea, lo cual es importante para realizar un buen diagnóstico y para elaborar un adecuado plan de tratamiento. El objetivo del presente estudio fue determinar la edad cronológica promedio en que ocurren los estadías de maduración ósea según el método de Hassel y Farman en pacientes de 10 a 16 años que acuden al Centro de Radiodiagnóstico Estomatológico Cusca, el método utilizado a diferencia de los demás métodos existentes reduce el número de exámenes radiográficos y por consiguiente reduce la exposición y el costo para el paciente. El presente estudio es de tipo descriptivo, transversal y prospectivo, en el cual, mediante el método descrito por los doctores Hassel y Farman, se analizaron 106 radiografías de pacientes de 10 a 16 años que acudieron al Centro de Radiodiagnóstico Estomatológico Cusco. La edad cronológica en que ocurren los estadías de maduración ósea según el método de Hassel y Farman son de 11,39 años para el estadío I, 12,42 años para el estadío II, 12,99 años para el estadío III, 14,15 años para el estadío IV, 14,89 para el estadío V y 14.82 para el estadío VI. Se encontró que en cada estadío las mujeres anticipan a los varones, además se encontró que existen diferencias estadísticamente significativas entre ambos sexos tanto en el estadío II como en el estadío III.",Cirujano dentista,2011
Universidad Nacional de San Antonio Abad del Cusco,Evaluación del efecto citoprotector gástrico y efecto hepatoprotector del extracto seco hidroalcohólico al 70 % de Plantago major L. (Llantén) en animales de experimentación,"Zamalloa Chávez, Yessica","Del Carpio Jiménez, Carla","Se realizó un estudio cuasi experimental de series cronológicas con repetición del estímulo y diseño con un grupo control y sin pre prueba. En el presente trabajo se evaluó el efecto citoprotector gástrico mediante la determinación del índice de inhibición ulcerogénica y estudio histopatológico en el modelo experimental de inducción de úlcera gástrica por etanol absoluto, realizadas con ratas albinas machos de la raza Holtzman, agrupadas en 5 grupos experimentales, a los cuales se les administró diferentes tratamientos respetivamente: suero fisiológico (1 ml), Omeprazol (20mg/kg), Sucralfato (400mg/kg), Extracto 1 (600mg/kg) y Extracto 11 (800 mg/Kg), luego de 1 hora se procedió a administrar etanol absoluto, y después de 1 hora se les extrajo los estómagos para los cortes histológicos y lecturas correspondientes. El tratamiento con el extracto a la dosis de 800 mg/Kg demostró ser un buen citoprotector gástrico por inhibir la formación de ulceras en un 100 %, similar al patrón Sucralfato (97.66%), a diferencia del patrón Omeprazol que inhibió en un 73.31%, estos datos coincidieron con el pertinente estudio histopatológico. Así también se evalúo el efecto hepatoprotector mediante el estudio histopatológico y la determinación de transaminasas (GOT y GTP), fosfatasa alcalina y bilirrubinas en el modelo experimental de intoxicación hepática por tetracloruro de carbono, con ratas albinas machos de la raza Holtzman en 6 grupos experimentales: blanco (suero fisiológico 1 mL), control (CCI4 0.5ml/kg), patrón (Silimarina 100 mg/kg) y el extracto a las dosis de 400, 600 y 800 mg/Kg. Cinco días previos al inicio de la intoxicación se administró el suero fisiológico, Silimarina, y las dosis del extracto, y luego durante 5 semanas (2 veces por semana), dos dosis por día: 2 horas antes y 2 horas después de la administración del tetracloruro de carbono. A la sexta semana se realizó la toma de muestra para las pruebas bioquímicas y se extrajo los hígados para el estudio histopatológico. En los resultados obtenidos se demostró que el extracto a las dosis de 600 y 800 mg/Kg tiene efecto hepatoprotector porque los niveles de transaminasas (GOT y GTP), fosfatasa alcalina y bilirrubinas se mantuvieron dentro de los parámetros normales, además el estudio histopatológico pudo corroborar estos resultados. Los resultados fueron sometidos a un análisis estadístico, para lo cual se aplicó el programa estadístico SPSS con un intervalo de confianza del 95%.",Químico Farmacéutico,2011
Universidad Nacional de San Antonio Abad del Cusco,Consorcio de exportación y calidad de vida de las familias artesanales textiles - distrito de Ocongate,"Macedo Mirano, Richard","Borda Pilinco, Manrique","Esta investigación intitulada CONSORCIO DE EXPORTACIÓN Y CALIDAD DE VIDA DE LAS FAMILIAS ARTESANALES TEXTILES - DISTRITO DE OCONGATE, es producto de la vivencia en las familias que se dedican a la producción artesanal textil en algunos centros poblados del distrito de Ocongate, y los resultados permite alcanzar solución a la problemática de la producción, comercialización y exportación de productos artesanales producidos en el interior del país, así mismo, existe escaso apoyo de gestión de las instituciones públicas y entidades privadas en el área de comunicación, tecnología y financiamiento. Se trata especialmente de la producción artesanal de tejidos textiles y de la necesidad de formar consorcio de exportación para la producción y comercialización orientada al crecimiento y desarrollo de las unidades productivas familiares del sector artesanal que conlleva al progreso de los pueblos y de la sociedad, tal como, se indica en la Carta Magna de 1993 Art. 59°. Hoy en día la estrategia del desarrollo económico del país y de los gobiernos es la promoción de las exportaciones como elemento fundamental de la generación del empleo e incremento del ingreso de igual forma el incremento de divisas para lograr el superávit en la balanza comercial del país. El presente trabajo de investigación consta de cinco capítulos y están organizados de la siguiente manera. CAPITULO l. Comprende el diseño metodológico de la investigación, formulación del problema, objetivos, justificación, hipótesis, variables, la población y muestra. CAPITULO II. En este capítulo están considerados los antecedentes de estudio, el marco teórico y conceptual en el cual trata de las teorías, relacionados al tema de investigación. CAPITULO m. En este capítulo se describe la caracterización del distrito de Ocongate. El proceso de producción y la descripción de los mercados potenciales. CAPITULO IV. En este capítulo se realiza el análisis e interpretación de las encuestas aplicadas a las familias artesanales textiles del distrito de Ocongate. CAPITULO V. Finalmente en este capítulo se presenta una propuesta básica para la constitución de un consorcio de exportación para las familias artesanales textiles del distrito de Ocongate.",Licenciado en Administración,2011
Universidad Nacional de San Antonio Abad del Cusco,Comercialización y estrategias de marketing para los tejidos típicos elaborados por los internos del Centro Penitenciario de Quenccoro - Cusco,"Cortés Valencia, Doris","Jordán Palomino, Teófilo","La investigación de páginas adelante es un aporte para todas aquellas personas y profesionales interesados en ayudar a la mejora de sus ingresos económicos de los productores de tejidos típicos, mediante la implementación de estrategias de marketing y nuevas formas de comercialización al mismo tiempo hacerles conocer que su trabajo debe ser valorado permaneciendo fuera o dentro de un centro penitenciario. Con dicho trabajo se pretende el desarrollo y progreso de esta parte de la sociedad discriminada y a través de este cambio generar impacto en los centros penitenciarios del país. La presente investigación es un aporte a minimizar la marginación y explotación laboral existente en el Centro Penitenciario Quenccoro-Cusco, la marginación no sólo es -de tipo racial, sexual, étnico, religioso, ideológico, sino también se puede apreciar dentro de los aspectos económicos políticos, culturales, etc. Entonces podemos afirmar que la explotación implica el uso de la persona como objeto, quiere decir el uso del trabajo de alguna persona sin otorgar a cambio una retribución justa, en este caso los intermediarios subyugan la mano de obra de los internos productores debido a que les pagan con una retribución irrisoria, esto genera la explotación de la mano de obra del hombre por el hombre, el exceso de horas de trabajo entre otros y esto trae como consecuencia la insatisfacción de sus necesidades básicas de los internos (trabajo, vivienda, educación, acceso a la sanidad) obstaculizando su reinserción a la sociedad. Uno de los factores que intervienen en la explotación y marginación del interno es la carencia de mecanismos para un adecuado proceso comercialización de los tejidos elaborados por dichos internos, ya que los principales compradores son los intermediarios, acopiadores, mayoristas entre otros no cuentan con mercados directos, no conocen los mecanismos para reducir los canales de comercialización. Mientras no exista una adecuada planificación y estrategias de marketing estamos convencidos que esta situación paupérrima en que ellos viven seguirá, al mismo tiempo no existirá una verdadera reinserción del interno a la sociedad y lo más probable es que vuelva a delinquir.",Licenciado en Administración,2011
Universidad Nacional de San Antonio Abad del Cusco,"Cribado de actividad antidepresiva en la prueba de natación forzada y toxicidad aguda en ratones Balb/c/CNPB de los extractos secos etanólicos de las partes aéres en floración del Hypericum andinum, Hypericum brevistylum, Hypericum laricifolium e Hypericum silenoides","Ccana Ccapatinta, Gari Vidal","Del Carpio Jiménez, Carla","Las especies de la familia C/usiaceae, en especial del género Hypericum, han demostrado ser una fuente prolija de metabolitos con propiedades biológicas relevantes. Debido a que el desarrollo de nuevas drogas antidepresivas es un área de constante interés, y el género Hypericum ofrece fuente prolija de moléculas bioactivas, se planteó la presente investigación con el objetivo principal de realizar un cribado de actividad de tipo antidepresivo de los extractos secos etanólicos obtenidos de las partes aéreas en floración del H. andinum, H. brevistylum, H. laricifo/ium e H. silenoides, administrados por vía oral en ratones Balb/c/CNPB sometidos a la prueba de natación forzada. Se planteó un estudio experimental, mediante un diseño con postprueba únicamente, dosis única y grupo de control. Se determinó un 35.64, 28.30, 24.60 y 23.14% de porcentaje de rendimiento de los extractos secos etanólicos obtenidos del H. andinum, H. brevistylum, H. laricifolium e H. silenoides, respectivamente. Se evidenció la presencia de flavonoides, xantonas, derivados del ácido cafeico, xantonas y floroglucinoles diméricos dentro de los extractos preparados. Los valores de DL50 de los extractos fueron mayores a 5000 mg/kg. Se aisló fluoxetina clorhidrato a partir de capsulas comerciales con un rendimiento del 63% y una pureza del 93%. Se determinó una reducción máxima del tiempo de inmovilidad en la prueba de natación forzada de la fluoxetina aislada a la dosis de 30 mg/kg. Los extractos del H. andinum a las dosis de 250 y 500 mg/kg, H. brevistylum a la dosis de 250 mg/kg, e H. silenoides a la dosis de 500 mg/kg redujeron significativamente el tiempo de inmovilidad en la prueba de natación forzada y presentaron efectos estadísticamente comparables al grupo control positivo que recibió fluoxetina a la dosis de 30 mg/kg. Los extractos secos etanólico de las partes aéreas en floración del H. andinum, H. brevisty/um, H. laricifolium e H. silenoides presentan actividad de tipo antidepresivo al ser administrados por vía oral en ratones Balb/c/CNPB sometidos a la prueba de natación forzada.",Químico Farmacéutico,2011
