instituciones,titulos,autores,contribuidores,resumenes,grados,niveles,años,diciplinas,level
Universidad Nacional del Altiplano,Sistema Web de Gráficos en el Control de Salud Epidemiológico del Minsa Sandia – 2015,"Tacuri Hualla, Herlinda","Laura Murillo, Ramiro Pedro","En esta investigación se presenta el desarrollo del Sistema Web de gráficos con el propósito de mejorar la toma de decisiones en el Control de Salud Epidemiológica del MINSA Sandia a razón de que el proceso de las fichas epidemiológicas se realizaba de forma manual lo cual no admitía tener información requerida a tiempo real; el Departamento de Puno, Provincia y Distrito de Sandia está ubicada a 4336 m.s.n.m.Para la implementación del Sistema Web se utilizó la Metodología Ágil Programación Extrema (XP), que permitió obtener versiones funcionales de forma iterativa, se consultó con el personal los requerimientos y se agregan los nuevos módulos programados para nuevas pruebas y repetir el proceso hasta obtener la versión definitiva. Para la contrastación de hipótesis se aplicó una encuesta al personal administrativo encargado del procesamiento de datos y administración del Sistema Web; para lo cual se utilizó la prueba estadística de Media Poblacional con un 95% de probabilidad donde Tc= 4.14279 >T∝(n−1) (11) = 1.79588, donde se concluye que el Sistema Web de gráficos ha mejorado la toma de decisiones significativamente, lo cual presenta una alternativa de ayuda al personal administrativo, además se validó el Sistema Web con el ISO - 9126 se comprobó que el sistema web cumple con los requisitos exigidos como son los siguientes: funcionalidad, fiabilidad, usabilidad, eficiencia, mantenibilidad y portabilidad por ellos el sistema según la evaluación estándar obtuvo un puntaje de 99.9 el cual se encuentra en un intervalo de que el sistema cumple con los requisitos Establecidos",Ingeniero Estadístico e Informático,Título Profesional,2015,Ingeniería Estadística e Informática,pregrado
Universidad Nacional del Altiplano,Sistema web de administración para la gestión de empresas de servicios de comercialización Puno – 2014,"Valeriano Gutierrez, Juvenal Guillermo","Laura Murillo, Ramiro Pedro","El presente proyecto titulado “Sistema Web de Administración para la Gestión de Empresas de Servicios de Comercialización Puno – 2014”, se desarrolló para las empresas comercializadoras y como prueba se realizó la implementación del sistema a la empresa SERVINMED E.I.R.L., esta organización se dedica a la importación y comercialización de equipos médicos y materiales de laboratorios, sus actividades principales se orientan hacia la participación de procesos de licitación así como también, la venta de equipos y material médicos a instituciones públicas y privadas. Muchas de las empresas dedicadas al rubro de la comercialización realizan sus actividades administrativas manualmente un documento adjunto de información necesaria para la toma de decisiones del cliente, a este documento lo llamaremos cotización. La empresa recibe 54 cotizaciones a la semana entre instituciones públicas y privadas de las cuales solo llega a cotizarse 38, para esta actividad se utilizan una variedad de productos que la empresa ofrece de diferentes marcas y modelos. El objetivo del presente proyecto consistió en la implementación de un sistema web que permita automatizar las gestiones de las empresas de comercialización, minimizando el tiempo en que estas tomaban en ser realizadas de forma manual, para ello se realizó diferentes módulos para así poder organizar el catálogo de productos de la empresa, la implementación del sistema web contara con el Responsive Web Desing, esto facilitara la aplicación del software ya que esta tecnología permite ser usada en diferentes dispositivos móviles, tabletas, laptop entre otros",Ingeniero Estadístico e Informático,Título Profesional,2015,Ingeniería Estadística e Informática,pregrado
Universidad Nacional del Altiplano,Desarrollo de aplicación móvil sobre android en realidad aumentada para el aprendizaje en el área de lógico matemática para la institución educativa glorioso 821 Macusani - 2014,"Gutierrez Salguero, Windebel Eudis","Aleman Gonzales, Leonid","El presente trabajo de investigación titulada “Desarrollo de aplicación móvil sobre android en Realidad Aumentada para el aprendizaje en el área de lógico matemática para la Institución Educativa Glorioso 821- Macusani, 2014”, está ubicado en el distrito de Macusani Provincia de Carabaya de la Región de Puno. Cuyo objetivo fue implementar la aplicación de Realidad Aumentada móvil para mejorar el aprendizaje significativo en el are de lógico matemática, se realizó el análisis de las repercusiones para el aprendizaje y una aplicación de Realidad Aumentada movil en su mejora. La metodología de desarrollo que se utiliza para la implementación de Realidad Aumentada fue espiral-evolutiva, que permitió construir las aplicaciones de tamaño y manteniendo los recursos constantes, el trabajo se dividió en módulos, cumpliendo en cada proceso de la implementación, para la codificación se empleándose la tecnología java con SDK de Android. Los resultados se han obtenido utilizando diferencia de promedios con la prueba det Student  independientes (p<0.01) utilizando la aplicación de Realidad Aumentada desarrollada, los estudiantes lograron alcanzar promedios de 16.05, notas mayores a los que no utilizaron dicha aplicación quienes lograron promedios de 12.90. Por lo que se demostró que la aplicación de la Realidad Aumentada, innova un interés especial por aprender, El uso de la aplicación en Realidad Aumentada motivo la participación de todo el grupo de trabajo y mejoro el aprendizaje del conocimiento, reflejado significativamente en el análisis descriptivo",Ingeniero Estadístico e Informático,Título Profesional,2015,Ingeniería Estadística e Informática,pregrado
Universidad Nacional del Altiplano,Control estadístico de la Calidad del Agua respecto al Cloro Residual y Turbidez en la Planta de Tratamiento Seda Juliaca de 2015.,"Murillo Cuevas, Yesica Beatriz","Sucari Leon, Reynaldo","La presente investigación tuvo como objetivo principal, Determinar mediante control Estadístico de Calidad si el cloro residual y la turbidez del agua de la planta de tratamiento EPS SEDAJULIACA S.A cumplen con las especificaciones establecidas por el Ministerio de Salud en el año 2015. La hipótesis que se estructuro fue El cloro residual y la turbidez del agua de la planta de tratamiento EPS SEDAJULIACA S.A no cumplen con las especificaciones establecidas por el Ministerio de Salud, en el año 2015. Los métodos que se emplearon en el presente estudio fueron descriptivo aplicativo La Metodología que se usó en este trabajo de investigación fueron las cartas de control de Walter A. Shewhart para variables cuantitativas. Para la validación del control estadístico de la calidad, se usó la capacidad del proceso. Como resultado se obtuvo que el proceso es capaz de cumplir con las normas del Ministerio de Salud Reglamento de la Calidad del Agua para Consumo Humano – DS N° 031-2010-SA. Las cuales son 0,5 - 5 mg/l para cloro residual y 0 – 5 UNT para turbiedad. Se concluye con el rechazo de la hipótesis general e hipótesis especifico",Ingeniero Estadístico e Informático,Título Profesional,2015,Ingeniería Estadística e Informática,pregrado
Universidad Nacional del Altiplano,"Software para el proceso de admisión y la eficiencia de la evaluación en el Instituto de Educación Superior Tecnológico Privado del Altiplano – Puno, 2013","Mamani Garavito, Rene Vidal","Paredes Quispe, Juan Reynaldo","El presente trabajo de investigación se realizó en razón de que en el Instituto Superior del Altiplano de Puno no se contaba con un software para gestionar la atención del proceso de admisión el cual se realizaba manualmente que generaba demoras en la atención ocasionando malestar y quejas de los postulantes. Con la presente investigación, a fin de dar solución al problema con una gestión de atención de calidad eficiente, se elaboró un software el cual fue validado en los usuarios planteando para tal efecto el siguiente “Determinar la influencia del uso de software en la atención del proceso de admisión en el Instituto de Educación Superior Tecnológico Privado del Altiplano de Puno”. En cuanto a la muestra de investigación se ha considerado al total del personal responsable del proceso de admisión que son 22 personas entre ellos se tiene, autoridades (03), Presidente (01), operadores (08) y personal de apoyo (10) respectivamente. Se concluye que, el software diseñado a la medida de dar solución a la problemática de las demoras de tiempo en la atención, en la emisión de los reportes, de examen de Admisión y matriculas fueron optimizados a una disminución de tiempo en la proporción de 10 veces. La prueba del ISO 9126 nos proporcionó estadísticas favorables de satisfacción de en lo que respecta a la usabilidad, el software es adecuado y cómo puede ser usado para unas tareas o condiciones de uso particulares, también el software permite al usuario aprender sobre su aplicación, permite al usuario operarlo y controlarlo, el software es atractivo al usuario, se puede adherir a normas, convenciones, guías de estilo o regulaciones relacionadas con la usabilidad",Ingeniero Estadístico e Informático,Título Profesional,2015,Ingeniería Estadística e Informática,pregrado
Universidad Nacional del Altiplano,"Metodología hibrida para el diseño de enlaces de comunicación inalámbrica en los barrios Vallecito - Llavini y la Universidad Nacional del Altiplano de la ciudad de Puno, 2016","Callata Olivera, Sunico Yuriko","Melgarejo Bolivar, Romel Percy","La presente investigación se realizó con la finalidad de elaborar el diseño de red para un enlace inalámbrico punto a punto por donde sea posible brindar un adecuado servicio de internet de alta velocidad, debido a que contratar un servicio cableado de internet banda ancha es imposible ya que las altas son solo para re conexión u cambio de línea y no para usuarios nuevos. La investigación realizada está enmarcada dentro del tipo de investigación de campo y nivel descriptivo, debido a que la información necesaria para desarrollar el estudio se obtuvo a través del contacto directo con los sitios estudiados, permitiendo esto construir una descripción de la realidad. La ejecución del proyecto se sustentó en una metodología de cuatro fases, adaptadas por el autor en base a las metodologías propuesta por Kendall y Kendall que se aplica a sistemas informáticos, metodologías de diseño de redes IP elaborada por James Mc Cabe y el ciclo de vida de la metodología Cisco. El diseño de la red resultó caracterizarse haberse aplicado una metodología híbrida; Finalmente el enlace fue posible realizado a través de la experiencia en simulación mediante paquetes orientados redes y de simulación de enlaces inalámbricos en el espectro aéreo para concluir en diseño físico, todos estos resultados se plasmaron gracias a la metodología Kendall Y Kendall, CISCO, IP, James Mc Cabe.",Ingeniero Estadístico e Informático,Título Profesional,2015,Ingeniería Estadística e Informática,pregrado
Universidad Nacional del Altiplano,Sistema de información para el registro genealógico de alpacas - Ajoyani - 2015,"Alanoca Anchapuri, Ernesto","Mamani Bellido, John Fernando","El principal objetivo de la presente Tesis se basó en la implementación de un sistema de información, para el registro genealógico de alpacas, específicamente para el seguimiento y control de la producción de alpacas en diferentes sectores, con la finalidad de lograr el mejor desempeño y agilizar el proceso de registro y emisión de reportes, garantizando un mejor manejo de la información de las alpacas en el distrito de Ajoyani. La tesis estuvo enmarcado en el tipo de investigación proyectiva, fundamentada a nivel comprensivo con un diseño de fuente mixta (documental y campo). Se emplearon una serie de técnicas e instrumentos de recolección de datos, específicamente el análisis de fuentes documentales, la observación directa y las entrevistas no estructuradas. Se utilizó como guía una estructura operativa mixta, combinando la metodología de Reingeniería de Procesos y Programación Extrema. Adicionalmente, para el desarrollo de la aplicación se utilizaron diversas tecnologías como el lenguaje de programación PHP, el sistema manejador de base de datos “MySQL”. y el servidor Web Apache. De esta manera se pudo concluir que con la implantación del nuevo sistema se genera un mejor desempeño de las labores en la gerencia de desarrollo agropecuario en cuanto a la realización de los procesos en forma automatizada",Ingeniero Estadístico e Informático,Título Profesional,2015,Ingeniería Estadística e Informática,pregrado
Universidad Nacional del Altiplano,"Factores que influyen en la actitud de los internos en su proceso de reinserción laboral del penal de Puno, 2014","Condori Quispe, Erick Amilkar","Ramos Calcina, Alcides","El presente trabajo de investigación, intitulado “FACTORES QUE INFLUYEN EN LA ACTITUD DE LOS INTERNOS EN SU PROCESO DE REINSERCIÓN LABORAL DEL PENAL DE PUNO, 2014”, para determinar los factores que influyen en su proceso de reinserción laboral, mediante el análisis de correspondencias múltiples. Nos Permitió, la obtención de información mediante encuestas a 108 internos del área de trabajo del Establecimiento Penitenciario de Puno, que fueron seleccionados mediante una muestra aleatoria simple, una vez obtenida la información se procedió con la aplicación del análisis de correspondencias múltiples donde se determinó que había tres variables (seguridad, motivación y satisfacción) las cuales eran las que influían notoriamente en lo que vendría a ser el presente trabajo de investigación. Se analizó las variables que influían más , para determinar y obtener los resultados lo cuales dieron un resultado positivo para el siguiente trabajo de investigación, Los factores sociales aportan con un 79,981% a la reinserción laboral, el factor económico aporta con 78,691%, y las actitudes de los internos son los que aportan más a su reinserción con un 89,787% de variabilidad total, lo cual demuestra que si hay factores que influyen en la actitud de los internos en su proceso de reinserción laboral en la sociedad",Ingeniero Estadístico e Informático,Título Profesional,2016,Ingeniería Estadística e Informática,pregrado
Universidad Nacional del Altiplano,Análisis de correspondencia para determinar los factores que inciden en el consumo de alcohol en estudiantes de ingenierías de la Universidad Nacional del Altiplano Puno 2014,"Cayllahua Apaza, Manuel","Quispe Ticona, Pedro Leonardo","El presente trabajo de investigación, intitulado “Análisis de Correspondencia de los Factores que Inciden en el Consumo de Alcohol en Estudiantes de Ingenierías de la Universidad Nacional del Altiplano Puno 2014”, fue realizado con el objetivo de ver qué factores influyen al consumo de bebidas alcohólicas en los estudiantes, además visto la necesidad de contar con información confiable, consistente y metodológicamente estructurada, que sirva de sustento técnico para elaborar proyectos, campañas y demás actividades que disminuyan, concienticen y prevengan el inicio o la prevalencia del consumo de dichos productos, se elaboró el presente trabajo que servirá como herramienta técnica para tomar las decisiones más acertadas para contrarrestar dicha problemática en los estudiantes. Se tuvo una población total 6,715 estudiantes del área de Ingenieras de la Universidad Nacional del Altiplano Puno, obteniéndose una muestra Aleatoria de 95 estudiantes, una vez obtenida la información se procedió con la aplicación de Análisis de Correspondencia Múltiple donde se determinó que las variables que inciden al consumo de alcohol en un gran porcentaje son Ocupación Actual y Como es la Comunicación con su familia 70.6% presentándose así una correlación y en menor porcentaje Edad del Estudiante, Quien de tu Familia Consume Alcohol y Con quien en Vives en Casa 27.3%, y las demás variables restantes en 2.1% que no representan una correlación que influya al consumo de bebidas alcohólicas",Ingeniero Estadístico e Informático,Título Profesional,2016,Ingeniería Estadística e Informática,pregrado
Universidad Nacional del Altiplano,Sistema de información para el Inventario y control de equipos de cómputo de la unidad de telemática del Frente Policial de Puno - 2015,"Ramos Patiño, Henry Juan","Vargas Valverde, Confesor Milan","El presente trabajo de investigación titulado “Sistema de Información para el Inventario y Control de Equipos de Cómputo de la Unidad de Telemática del Frente Policial de Puno-2016” SISTEL. La unidad de Telemática se encuentra a cargo de llevar el control e inventario de los equipos de cómputo, de 167 dependencias policiales, siendo el 100% de las Unidades y Sub Unidades policiales del Frente Policial de Puno, y hasta antes de la implementación del sistema informático en mención realizaba el control y los inventarios de forma manual siendo esto de forma ineficiente, generando retraso y pérdida de tiempo, el objetivo principal del presente trabajo de investigación fue realizar todas estas tareas con el apoyo del Sistema de Información SISTEL, con el cual se llegó a realizar el control e inventariado de los equipos de cómputo y/o accesorios de todas las Sub Unidades de Puno. Para el desarrollo del Sistema SISTEL se aplicó las metodologías agiles, Programación Extrema (XP) por su flexibilidad, y permite acelerar y obtener versiones funcionales de forma iterativa, obteniendo resultados de forma modular y estos se subsanan directamente con el personal hasta concluir el sistema. Se concluyó que con la implementación del sistema ha mejorado notablemente la labor, hasta la fecha de presentar esta tesis se llegaron a realizar el inventariado de un 60% del total de las sub unidades, en la Oficina de Telemática, siendo rápida y eficaz. A través del estándar ISO – 9126, se demostró que el sistema cumple con los requisitos en cuanto se refiere a la calidad del producto del software",Ingeniero Estadístico e Informático,Título Profesional,2016,Ingeniería Estadística e Informática,pregrado
Universidad Nacional del Altiplano,Sistema web para la comercialización de productos de cuero en la Región Puno 2015,"Quispe Huanca, Alex","Coyla Idme, Leonel","El trabajo desarrollado Intitulado Sistema web para la comercialización de productos de cuero ayuda en la automatización de la información de los productos de cuero, usando un sistema de información acorde a los avances tecnológicos para trasladar la información tradicional a una tienda virtual en la cual se comercializa los productos por internet. El objetivo fue desarrollar un sistema web para la comercialización de productos de cuero, facilitando las vías de distribución para su respectiva venta. El sistema Web se desarrolló desde fase inicial se utilizó lenguaje de programación PHP y MySQL, patrón de diseño modelo vista controlador lo que constituyó un logro total de avance para la tienda y la posibilidad de expandir la virtualmente, además se implementó el catálogo de producto equivalente a una instalación física de una tienda, lo que constituyó un Diseño de usuario amigable y sencillo, facilitando el acercamiento del usuario a los productos y el manejo del sistema web. Paralelamente con la implementación del carrito de compra, fue muy importante en asistir al cliente en el recorrido de la compra de los productos, juntos fueron factores muy claves para en el desarrollo del sistema. El modo de pago fue de transferencia bancaria y tarjeta que se basó en la confianza construida entre cliente y vendedor. El sistema web mejoró significativamente en la comercialización de productos de cuero en un 93.87%, aceptando la hipótesis alterna con una probabilidad de confianza de 95%. Optimizando el tiempo en un 95,92% y costo en un 98% de los clientes, satisfaciendo a los clientes en un 91.83% de aceptación de los clientes",Ingeniero Estadístico e Informático,Título Profesional,2016,Ingeniería Estadística e Informática,pregrado
Universidad Nacional del Altiplano,"Modelo de predicción mensual de mortalidad general intrahospitalaria en el Hospital Regional Manuel Nuñez Butrón-Puno, 2008-2016-I","Melo Mayta, Edwin","Azañero de Aguirre, Emma Orfelinda","El Hospital Regional Manuel Núñez Butrón-Puno, es una institución pública que está dedicada exclusivamente a la actividad de servicio de recuperación y rehabilitación de los pacientes, para lo cual una de las prioridades de estudio es saber las futuras proyecciones del comportamiento de la mortalidad general intrahospitalaria en el Hospital Regional “Manuel Núñez Butrón” Puno para prever recursos humanos, de infraestructura, equipamiento, tecnológicos y financieros y así reducir el incremento de muertes, motivo por el cual se tiene como objetivo determinar el mejor modelo de predicción mensual que se ajuste a la serie original para hacer predicciones a corto plazo. La metodología usada fue Box – Jenkins para el modelamiento de la serie del número de mortalidad general intrahospitalaria, la cual se desarrolló en las siguientes etapas de exploración de la serie, para la identificación del modelo, estimación de los parámetros del modelo, verificación de modelo y finalmente usar el modelo apropiado para la predicción, el resultado de la estimación del mejor modelo univariante para la predicción de la serie original de mortalidad intrahospitalaria, en el Hospital Regional Manuel Núñez Butrón - Puno es un modelo SARIMA (2, 1,0) (0, 1,1)12",Ingeniero Estadístico e Informático,Título Profesional,2016,Ingeniería Estadística e Informática,pregrado
Universidad Nacional del Altiplano,Sistema de consulta de la unidad de pensiones y liquidaciones de la Universidad Nacional del Altiplano Puno,"Jihuallanca Coa, Nelida Sonia","Huata Panca, Percy","La presente investigación titulada “SISTEMA DE CONSULTA DE LA UNIDAD DE PENSIONES Y LIQUIDACIONES DE LA UNIVERSIDAD NACIONAL DEL ALTIPLANO PUNO”, se realizó en el distrito de Puno Provincia de Puno departamento Puno, durante el periodo del año 2016. El objetivo principal de la presente investigación es evaluar la calidad de servicio en los procesos de búsqueda y consulta de perfiles a través de un sistema de información de la Unidad de Pensiones y Liquidaciones de la Universidad Nacional del Altiplano Puno usando tecnología Web, todo esto para el beneficio de los administrativos de dicha Unidad con el fin de reducir las tareas y llevar un mejor control de los años de servicio de los trabajadores de la Universidad Nacional del Altiplano. Por las características del proyecto se utilizó la metodología de desarrollo XP (Programación Extrema); metodología ágil para el desarrollo de software, tanto para sistemas tradicionales como para sistemas web, en esta metodología se abordaron los diagramas de UML (lenguaje de modelado unificado) y otros para el desarrollo del sistema. Con la ejecución y el procesamiento de datos del nuevo sistema se logró mejorar la administración que hacen manualmente, reduciendo las tareas a menor tiempo y evitando la reincidencia de información. El objetivo que se alcanzó es brindar una calidad de servicio a los trabajadores de la Universidad Nacional del Altiplano Puno",Ingeniero Estadístico e Informático,Título Profesional,2016,Ingeniería Estadística e Informática,pregrado
Universidad Nacional del Altiplano,Sistema de información para el Instituto de Informática de la Universidad Nacional del Altiplano Puno - 2016,"Herrera Urtiaga, Alain Paul","Ibañez Quispe, Vladimiro","La presente Tesis titulada “Sistema de Información para el Instituto de Informática de la Universidad Nacional del Altiplano – Puno 2016”, se efectuó en el Instituto de Informática de la UNA – Puno. El objetivo principal es medir el tiempo de atención en las diferentes tareas administrativas mediante un Sistema de Información para la gestión y administración de dicho Instituto, y solo así proporcionar una alternativa de solución y optimización en atención al cliente. El desarrollo del sistema se centra en la aplicación de metodologías orientadas a la programación web, metodología Ágil SCRUM y para el modelado de datos el UML, permitiendo documentar y construir un Sistema de Información fácil y en comunicación con los operadores del sistema. La métrica ISO 9126 de evaluación fue para la ejecución del sistema así como los objetivos planteados en desarrollar, facilitar, generar y sistematizar, los módulos respectivos que registran la información necesaria del estudiante referentes a los datos personales y académicos, facilitando la realización de consultas de información para la toma de decisiones, mediante rutinas del sistema, los cuales permiten satisfacer las necesidades por parte de la institución. Las conclusiones del trabajo fue desarrollar y poner en funcionamiento un sistema de información que permite mejorar la gestión de información, dado que en la prueba de hipótesis resultó muy significativa; es decir que el valor calculado es menor al valor crítico (-5,89<-1,64) ello confirma que el tiempo promedio de atención a los clientes después de implementar el sistema de información se reduce notablemente",Ingeniero Estadístico e Informático,Título Profesional,2016,Ingeniería Estadística e Informática,pregrado
Universidad Nacional del Altiplano,Factores de influencia en el bajo rendimiento académico de los estudiantes de la Facultad de Ingeniería Estadística e Informática de la UNA - Puno 2015,"Salazar Rios, Yubel Yesenia","Carpio Vargas, Edgar Eloy","La coordinación académica de la Facultad de Ingeniería Estadística e Informática reporta los siguientes indicadores, el 50.43% de los estudiantes tienen un rendimiento académico deficiente y el 41.74% tienen un rendimiento académico regular, esto indica que un porcentaje alto de estudiantes, tienen un bajo rendimiento académico, por esta razon se ha planteado el siguiente objetivo de investigación, determinar qué factores académicos, económicos, sociales y personales influyen en el Bajo Rendimiento Académico de los Estudiantes de la Facultad de Ingeniería Estadística e Informática de la UNA - Puno 2015. La población en investigación estuvo constituida por 152 estudiantes con Bajo Rendimiento Académico del cuarto al décimo nivel de la Escuela Profesional, de la cual se seleccionó una muestra aleatoria estratificada con afijación óptima de 106 estudiantes. La recopilación de los datos se realizó aplicando encuestas a los estudiantes de la muestra. La estimación del modelo se efectuó mediante los metodos Stepwise, R2 , el Cp, utilizando para el análisis dos programas estadísticos",Ingeniero Estadístico e Informático,Título Profesional,2016,Ingeniería Estadística e Informática,pregrado
Universidad Nacional del Altiplano,Plataforma web basada en cloud computing para el seguimiento de proyectos de tesis de pregrado UNA Puno 2016,"Torres Cruz, Fred","Laura Murillo, Ramiro Pedro","Es tendencia en el desarrollo de Tecnologías de la Información, la creación de plataformas basadas en los principios del Cloud Computing (Computación en la Nube) porque nos ofrece muchas ventajas de administración, mantenimiento, escalabilidad y adaptabilidad a la hora de crear nuevos servicios. Además por el problema del acceso a la información, la burocracia y el tiempo que le toma a un tesista el proceso de inscripción, registro, sorteo, revisión, corrección y dictamen de proyectos de tesis, en el Vicerrectorado de Investigación de la Universidad Nacional del Altiplano Puno nace la necesidad de desarrollar e implementar una plataforma web basada en cloud computing para el seguimiento de proyectos de tesis de pregrado para poder brindar un servicio ágil, eficiente y seguro en todo el procedimiento de los proyectos de tesis. El desarrollo e implementación de la plataforma se centró en la aplicación de la metodología de desarrollo de software, se utilizó las metodologías SCRUM y XP las cuales se adecuaron mejor a la plataforma por su agilidad y bajo costo. Para el modelado de la plataforma se ha empleado la metodología UML (Lenguaje Unificado de Modelado) y para ver la calidad de la plataforma que se desarrolló, se utilizó la ficha de evaluación de calidad del producto estándar ISO-9126, además de una encuesta de satisfacción de usuarios. Se concluyó que la implementación de la plataforma web basada en cloud computing para el seguimiento de proyectos de tesis de pregrado agilizó el proceso de inscripción, registro, sorteo, revisión, corrección y dictamen de proyectos de tesis de pregrado y como consecuencia la satisfacción de los tesistas que han acelerado el proceso de sus proyectos",Ingeniero Estadístico e Informático,Título Profesional,2016,Ingeniería Estadística e Informática,pregrado
Universidad Nacional del Altiplano,"Factores que determinan el otorgamiento de crédito de la financiera Credinka en la ciudad de Ayaviri, 2015","Sarco Yampasi, Maribel Giovana","Carpio Vargas, Edgar Eloy","La tesis tuvo como objetivo mejorar la visualización de contenido de los estudiantes en los libros educativos tradicionales de distribución gratuita en Educación Básica Regular, para ello se evaluó y eligió una plataforma que cumpliese con los requerimientos básicos para el diseño de una aplicación de realidad aumentada, se procedió a diseñar un prototipo de realidad aumentada que usara las imágenes de los libros como marcadores para sobreponer objetos en 3d, finalmente se evaluó la satisfacción del usuario al emplear la aplicación de realidad aumentada basado en el cuestionario QUIS. La metodología para el desarrollo del prototipo fue Mobile-D para optimizar los tiempos de desarrollo sin sacrificar la calidad de la aplicación. Se tomó como grupo de estudio a las docentes de la Institución Educativa Inicial 192 de la ciudad de Puno. Se realizó la evaluación entre las plataformas y se eligió Vuforia para desarrollar el prototipo de realidad aumentada denominado YAPAY el cual al enfocar la cámara integrada de cada equipo sobre las imágenes que contienen los libros muestran objetos en 3d. Para evaluar la satisfacción de los usuarios se realizó encuestas. Como resultado es posible afirmar que la aplicación de realidad aumentada mejora la visualización de contenido de los estudiantes con el contenido de los libros educativos tradicionales de distribución gratuita en Educación Básica Regular empleando la metodología Mobile-D para su desarrollo. Realidad Aumentada, Vuforia, satisfacción, Educación Básica Regular, Marcadores, 3d, Aplicación",Ingeniero Estadístico e Informático,Título Profesional,2016,Ingeniería Estadística e Informática,pregrado
Universidad Nacional del Altiplano,Agente virtual inteligente para la orientación vocacional en el hogar Virgen de Fátima de la ciudad de Puno – 2015,"Godoy Vilca, Erik Raziel","Vargas Valverde, Confesor Milan","El presente trabajo de investigación se realizó en razón de que en el Hogar Virgen de Fátima de la Ciudad de Puno no se contaba con un software para la Orientación Vocacional el cual se realizaba manualmente, generando demoras en la orientación vocacional, traspapelo de historiales y confusiones en los registros, A fin de dar solución al problema con una orientación de calidad se elaboró un software, el cual fue validado en las usuarias planteando para tal efecto el siguiente objetivo: “Determinar la eficiencia del software para la orientación vocacional en las internas del Hogar Virgen de Fátima de la Ciudad de Puno”. La población en investigación fueron las internas del Hogar Virgen de Fátima, de la cual se seleccionó 11 internas en forma aleatoria de los años 2015 y 2016. Las internas fueron capacitadas en charlas de orientación laboral a cargo de la psicóloga que fue validado por Asesor Educativo (2007), Se elaboró un cuestionario con la metodología de la Fundación Universitaria María Cano y la toma de datos fue a través de la encuesta, En la elaboración del software se utilizó la metodología de sistemas de tiempo real, validado por Chatbots Conversacionales (1997), donde se analizó y diseño los requerimientos del Agente Virtual Inteligente apoyándonos por la psicóloga del hogar, luego se implementó el Agente Virtual Inteligente el cual utilizo un lenguaje de marcas para la inteligencia artificial. Con los resultados de la investigación se concluye que el Agente Virtual Inteligente contribuye en un 70.13% y eleva la eficiencia en un 22.59% de la orientación vocacional",Ingeniero Estadístico e Informático,Título Profesional,2017,Ingeniería Estadística e Informática,pregrado
Universidad Nacional del Altiplano,Sistema integrado de administración online de la empresa Compunegocios International S.A.C. Puno 2015,"Chambi Llica, Wilmer Eddy","Ramos Calcina, Alcides","La Empresa COMPUNEGOCIOS INTERNATIONAL S.A.C. realiza procesos de compra, venta, transferencia entre almacenes, créditos, control de personal y control de gastos e ingresos, los cuales se han venido realizando de manera manual con falta de control, con pérdida de documentación, tiempo y dinero; razón por la cual se desarrolla la presente Investigación, con el objetivo de Implementar un Sistema Integrado de administración de la empresa. Por ello la Implementación del Sistema, automatiza los procesos que realiza la empresa, mencionados anteriormente y generando reportes necesarios. El sistema se basó en la metodología de desarrollo ágil Xtreme Programming (XP), que fue la más adecuada y que permite la programación a bajo costo. Para la validación del sistema se realizó con el estándar ISO-9126 que evalúa la calidad del software en función de 5 características (Funcionalidad, Fiabilidad, Usabilidad, Eficiencia, Mantenibilidad), con una evaluación realizada por el personal de la Empresa, mediante la escala de Likert con valores del 1 al 5. En conclusión, la implementación del Sistema Integrado de Administración online agilizó los procesos que realiza la empresa, con la validación realizada con el estándar ISO- 9126 se obtuvo un calificativo promedio de 109 puntos, por lo tanto, el sistema cumple con los requisitos, Además, se analizó e implementó el procesamiento entre bases de datos para que cada almacén sea independiente y esté integrado al sistema mediante el módulo de control de almacén",Ingeniero Estadístico e Informático,Título Profesional,2017,Ingeniería Estadística e Informática,pregrado
Universidad Nacional del Altiplano,Aplicación de realidad aumentada en libros educativos tradicionales para la enseñanza en educación básica regular en el departamento de Puno – 2016,"Quispe Riquelme, Roger","Carpio Vargas, Edgar Eloy","La tesis tuvo como objetivo mejorar la visualización de contenido de los estudiantes en los libros educativos tradicionales de distribución gratuita en Educación Básica Regular, para ello se evaluó y eligió una plataforma que cumpliese con los requerimientos básicos para el diseño de una aplicación de realidad aumentada, se procedió a diseñar un prototipo de realidad aumentada que usara las imágenes de los libros como marcadores para sobreponer objetos en 3d, finalmente se evaluó la satisfacción del usuario al emplear la aplicación de realidad aumentada basado en el cuestionario QUIS. La metodología para el desarrollo del prototipo fue Mobile-D para optimizar los tiempos de desarrollo sin sacrificar la calidad de la aplicación. Se tomó como grupo de estudio a las docentes de la Institución Educativa Inicial 192 de la ciudad de Puno. Se realizó la evaluación entre las plataformas y se eligió Vuforia para desarrollar el prototipo de realidad aumentada denominado YAPAY el cual al enfocar la cámara integrada de cada equipo sobre las imágenes que contienen los libros muestran objetos en 3d. Para evaluar la satisfacción de los usuarios se realizó encuestas. Como resultado es posible afirmar que la aplicación de realidad aumentada mejora la visualización de contenido de los estudiantes con el contenido de los libros educativos tradicionales de distribución gratuita en Educación Básica Regular empleando la metodología Mobile-D para su desarrollo",Ingeniero Estadístico e Informático,Título Profesional,2017,Ingeniería Estadística e Informática,pregrado
